current_node_accs	current_node_id	current_node_param_string	is_gt	parent_accs	parent_node_id	parent_node_param_string
[0.9878, 0.9873, 0.9877, 0.9883, 0.9885, 0.9899, 0.9878, 0.9897, 0.988, 0.9897]	1	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=he_normal,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9895, 0.9905, 0.9892, 0.9844, 0.9879, 0.9892, 0.9876, 0.9891, 0.9895, 0.988]	3	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=random_normal,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.982, 0.9894, 0.9904, 0.9887, 0.9893, 0.9915, 0.9873, 0.9862, 0.9877, 0.9894]	6	act1=relu,act2=softmax,batch_size=32,bi1=random_normal,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9866, 0.9874, 0.9894, 0.9879, 0.9909, 0.989, 0.9872, 0.9886, 0.9887, 0.9883]	9	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9846, 0.9894, 0.9901, 0.9856, 0.9872, 0.9886, 0.9873, 0.9885, 0.99, 0.9876]	10	act1=exponential,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9886, 0.9884, 0.9896, 0.9878, 0.9902, 0.9867, 0.9888, 0.9888, 0.9869, 0.9861]	28	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=nadam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.99, 0.9908, 0.9897, 0.9894, 0.9894, 0.9886, 0.9887, 0.9887, 0.9908, 0.9897]	14	act1=relu,act2=exponential,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9901, 0.99, 0.9902, 0.9904, 0.9885, 0.9905, 0.9891, 0.9901, 0.9884, 0.9882]	27	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adamax,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9882, 0.988, 0.9885, 0.99, 0.9889, 0.9897, 0.9885, 0.9893, 0.9894, 0.9898]	38	act1=relu,act2=softmax,batch_size=512,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9897, 0.9885, 0.9884, 0.9898, 0.9891, 0.987, 0.9895, 0.9893, 0.9893, 0.9891]	37	act1=relu,act2=softmax,batch_size=256,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
[0.9897, 0.9885, 0.9863, 0.9912, 0.9876, 0.9897, 0.9882, 0.9892, 0.9892, 0.9875]	7	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256	True	[0.987, 0.9893, 0.9863, 0.988, 0.9889, 0.9892, 0.9885, 0.9896, 0.9883, 0.9905]	0	act1=relu,act2=softmax,batch_size=32,bi1=zeros,epochs=10,ki1=glorot_uniform,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=128
